batch,scenario_id,domain,asset_id,nearest_handcrafted,realism_rating,novelty_rating,tool_path_rating,benchmark_usefulness_rating,disposition,reason,required_edit
first_review_20260502,SGT-GEN-001,FMSR,T-005,fmsr_05_dga_record_lookup_explain,accept,distinct,good,maybe,accept_with_edits,"T-005 fixture fault_label=Normal which matches gt.final_value.primary_fault=Normal/no active fault; tool-path get_dga_record + analyze_dga is correct; must_include labels (normal/no active fault, recommended monitoring action, background gas rationale) are achievable from tool output. Different angle from fmsr_05 (which asks 'explain gases + match failure mode' — this asks 'confirm Normal'). Limitation: gt.decisive_intermediate_values gases (h2=90, etc.) are fabricated and do not match the actual fixture (T-005: h2=12.31, ch4=8.03).","Drop or correct gt.decisive_intermediate_values gas values to match data/processed/dga_records.csv for T-005; or drop the field entirely and rely on must_include labels."
first_review_20260502,SGT-GEN-002,TSFM,T-005,tsfm_01_rul_forecast_maintenance_window,borderline,near-duplicate,fixable,maybe,reject_duplicate,"Same shape as tsfm_01 (RUL forecast + horizon decision), different horizon (60d vs 180d) and asset. Adds no materially new operational context beyond a parametric variation. Stage 3 rule 2: novelty=near-duplicate → reject_duplicate.","If kept under acceptance with relaxed novelty: drop fabricated gt.final_value.rul_estimate_days=420 (fixture is 3391); remove tsfm.detect_anomalies or pin a sensor_id source. Otherwise drop as duplicate of tsfm_01."
first_review_20260502,SGT-GEN-003,WO,T-005,wo_02_corrective_order_after_fault,borderline,near-duplicate,bad,maybe,reject_duplicate,"Same expected_tools as wo_02 (wo.create_work_order + wo.estimate_downtime); different premise (high-temp reading vs repeated faults) but same WO-creation shape. Plus tool-path is bad: estimate_downtime requires severity:str argument with no source in the prompt. Stage 3 rule 2.","Either drop as duplicate, or rewrite to add wo.list_fault_records first so severity comes from real fault history (the v0.2 batch's 505/SGT-GEN-003 implements this fix)."
first_review_20260502,SGT-GEN-004,IoT,T-005,iot_04_load_current_overload_check,accept,distinct,fixable,maybe,accept_with_edits,"Same asset as iot_04 but different sensor (oil_temp_c vs load_current_a) and different question (point-in-time threshold check vs baseline-relative trend). Materially different MCP tool pattern. Limitation: gt.final_value claims oil_temp=70°C and 'within safe range', but data/processed/sensor_readings.csv for T-005 oil_temp_c has min=22.6, max=65.5, mean=45.0 — never reaches 70°C. expected_tools missing iot.list_sensors discovery step.","Drop fabricated gt.final_value.sensor_value_with_unit='70°C' and gt.decisive_intermediate_values.oil_temp_c='70'; let the agent report what tools return. Add iot.list_sensors before iot.get_sensor_readings."
first_review_20260502,SGT-GEN-005,Multi,T-005,multi_01_end_to_end_fault_response,reject,near-duplicate,bad,drop,reject_duplicate,"Same shape as multi_01 (multi-domain incident response with IoT → FMSR → TSFM → WO chain). Stage 3 rule 2 wins. Even if not duplicate: prompt names 'elevated hydrogen and rising methane' (thermal/PD-leaning gas pattern) but gt fault_label='Arcing fault' / fault_code='D2' (arc-discharge → C2H2-driven). T-005 fixture is Normal so analyze_dga returns N regardless. Missing fmsr.get_dga_record before fmsr.analyze_dga.","Major rewrite: pick an asset with a real fault in fault_records.csv, align gas profile with the labeled fault code, add fmsr.get_dga_record before fmsr.analyze_dga, pin sensor_id for iot.get_sensor_readings."
first_review_20260503,SGT-GEN-001,FMSR,T-005,fmsr_01_dga_fault_mode_diagnosis,reject,near-duplicate,bad,drop,reject_duplicate,"Same shape as fmsr_01 (DGA → fault mode diagnosis). Stage 3 rule 2. Plus internal contradiction: prompt says 'recent DGA readings show stable gas levels' but gt.final_value.primary_fault='D2' (arc discharge — extreme fault). Stable + D2 are mutually exclusive. T-005 fixture is Normal so analyze_dga returns N not D2 anyway.","Major rewrite: either change premise to 'elevated activity' to match D2 ground truth, or change gt.final_value.primary_fault to Normal to match 'stable' premise."
first_review_20260503,SGT-GEN-002,TSFM,T-005,tsfm_01_rul_forecast_maintenance_window,borderline,near-duplicate,fixable,maybe,reject_duplicate,"Same shape as tsfm_01. Also near-duplicate of 502/SGT-GEN-002 (same asset, similar premise). Stage 3 rule 2.","Drop as duplicate; or consolidate the three RUL near-duplicates (502/002, 503/002, 505/002) into one canonical accepted scenario after fixing fabricated rul values."
first_review_20260503,SGT-GEN-003,WO,T-005,wo_02_corrective_order_after_fault,borderline,near-duplicate,bad,maybe,reject_duplicate,"Same shape as wo_02 and very near-duplicate of 502/SGT-GEN-003. Same wo.estimate_downtime severity-source problem. Stage 3 rule 2.","Same edit as 502/SGT-GEN-003. If both are kept, drop one as duplicate."
first_review_20260503,SGT-GEN-004,IoT,T-005,iot_04_load_current_overload_check,accept,distinct,fixable,maybe,accept_with_edits,"Different sensor (winding_temp_top_c) from iot_04's load_current_a; same shape (point-in-time check). Open-ended question; agent gets winding_temp_top_c data for T-005 (range 21.2-80°C, mean 50.4°C) and answers based on real readings. Limitation: gt.decisive_intermediate_values.winding_temp_top_c='80' is exactly the fixture max not a typical reading; ground truth would either trip the alarm or not depending on the timestamp the agent picks. Cleanest accept-with-edits per Alex's #53 ledger.","Drop fabricated gt.decisive_intermediate_values; rely on must_include labels. Consider pinning a specific timestamp window if the question is meant to be deterministic."
first_review_20260503,SGT-GEN-005,Multi,T-005,multi_01_end_to_end_fault_response,reject,near-duplicate,bad,drop,reject_duplicate,"Same shape as multi_01 and near-duplicate of 502/SGT-GEN-005. Prompt names 'rising methane and ethylene' (thermal pattern T1-T3) but gt.fault_code='D2' (arc-discharge). Gases don't match labeled fault. Gas-name mention violates the no-hint rule (PR #186 v0.2 README issue #2). Stage 3 rule 2.","Major rewrite as for 502/SGT-GEN-005."
